Producto;IRC;EAN;DESCRIPCION;LOTE;ESTADO INV;ESTADO LOTE;ALMACEN;PASILLO;COLUMNA;NIVEL;DIG;STOCK
0-412-870-;2041287000008;2041287000008;PUNTERA RIMMEL INTERIOR;2264;SCR;DIS;COTY;026;331;30;71;1
0-062-111-;32017953000;8413161017053;PAP ORIGINAL EDT 100 ML;4313;DIS;DIS;COTY;026;331;50;49;1080
0-112-088-103;34776203103;5012874125456;RIM - HIDE THE B POLVO - 003;4227;DIS;DIS;COTY;026;332;02;75;23
0-111-550-003;99350182090;3616304776328;RIM - T SEEKER MASC - BLACK WP 003;3331;DIS;DIS;COTY;026;332;04;45;62
0-146-206-;99350245348;3616307080712;ADI - VIBES GET COMFY BM 236ML;5080;DIS;DIS;COTY;026;332;20;68;337
0-146-300-;99350245340;3616307080705;ADI BMIST 150 ML GET CMF;5084;DIS;DIS;COTY;026;332;50;44;657
0-361-904-;2036190400007;2036190400007;SH - LOW COST;5424;SCR;DIS;COTY;026;332;60;73;1
0-361-904-;2036190400007;2036190400007;SH - LOW COST;5425;SCR;DIS;COTY;026;332;60;42;1
0-361-904-;2036190400007;2036190400007;SH - LOW COST;5426;SCR;DIS;COTY;026;332;60;60;1
0-361-904-;2036190400007;2036190400007;SH - LOW COST;5427;SCR;DIS;COTY;026;332;60;55;1
0-361-904-;2036190400007;2036190400007;SH - LOW COST;6228;SCR;DIS;COTY;026;332;60;57;1
0-112-840-500;99350180069;3616304825255;RIM - BASE LASTING FINISH HB 35HS - 500;3312;DIS;DIS;COTY;026;333;02;5;74
0-112-211-004;99350059860;3616301173038;RIM - NAT BRONZER POLVO - 004;4346;DIS;DIS;COTY;026;333;03;52;81
0-209-004-;99350201069;3616305259042;NAU - FOR HER JASMINE EDP 100ML;5057;DIS;DIS;COTY;026;333;04;44;34
0-061-534-370;99350137364;074170457889;SH - PURE RENOVATION CRYSTAL BLUE 370;4018;DIS;DIS;COTY;026;334;03;79;226
0-293-000-050;8754-;7891182810012;RISQUE- BIAN PURI 050;5112C1         ;DIS;DIS;COTY;026;334;04;33;73
0-293-000-040;8807-;7891182820028;RISQUE- RENDA 040;5071C1         ;DIS;DIS;COTY;026;335;02;60;70
0-061-181-;99350111128;3616302973866;SH - NAIL TREATMENT RIDGE FILLER;4340;DIS;DIS;COTY;026;335;03;86;137
0-293-000-210;8815-;7891182013383;RISQUE- CONDESSA 210;5043C1         ;DIS;DIS;COTY;026;335;04;25;318
